Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
153.6502519,0,0,0,0,0,0,0,0,,[M-H]-,154.6575283,0,0
153.6546217,0,0,0,0,0,0,0,0,,[M-H]-,154.6618981,0,0
153.7927536,0,0,0,0,0,0,0,0,,[M-H]-,154.8000301,0,0
153.9869727,0,0,0,0,0,0,0,0,,[M-H]-,154.9942491,0,0
153.9871916,0,0,0,0,0,0,0,0,,[M-H]-,154.994468,0,0
153.9913811,0,0,0,0,0,0,0,0,,[M-H]-,154.9986575,0,0
153.9992321,0,0,0,0,0,0,0,0,,[M-H]-,155.0065085,0,0
154.0036444,0,0,0,0,0,0,0,0,,[M-H]-,155.0109208,0,0
154.4463004,0,0,0,0,0,0,0,0,,[M-H]-,155.4535769,0,0
155.1077629,9,16,2,0,0,0,0,0,CHO,[M-H]-,156.1150394,-0.061731697,1
155.1120532,0,0,0,0,0,0,0,0,,[M-H]-,156.1193297,0,0
155.3766021,0,0,0,0,0,0,0,0,,[M-H]-,156.3838786,0,0
155.3800091,0,0,0,0,0,0,0,0,,[M-H]-,156.3872856,0,0
155.3946538,0,0,0,0,0,0,0,0,,[M-H]-,156.4019303,0,0
155.4020301,0,0,0,0,0,0,0,0,,[M-H]-,156.4093066,0,0
155.4467211,0,0,0,0,0,0,0,0,,[M-H]-,156.4539976,0,0
155.725256,0,0,0,0,0,0,0,0,,[M-H]-,156.7325325,0,0
155.74346,0,0,0,0,0,0,0,0,,[M-H]-,156.7507365,0,0
155.7647661,0,0,0,0,0,0,0,0,,[M-H]-,156.7720426,0,0
156.0646479,0,0,0,0,0,0,0,0,,[M-H]-,157.0719244,0,0
156.0804344,0,0,0,0,0,0,0,0,,[M-H]-,157.0877109,0,0
156.0988378,0,0,0,0,0,0,0,0,,[M-H]-,157.1061143,0,0
156.1063219,0,0,0,0,0,0,0,0,,[M-H]-,157.1135984,0,0
156.4304498,0,0,0,0,0,0,0,0,,[M-H]-,157.4377263,0,0
156.4411293,0,0,0,0,0,0,0,0,,[M-H]-,157.4484058,0,0
156.5009903,0,0,0,0,0,0,0,0,,[M-H]-,157.5082668,0,0
156.8028096,0,0,0,0,0,0,0,0,,[M-H]-,157.8100861,0,0
156.8169,0,0,0,0,0,0,0,0,,[M-H]-,157.8241765,0,0
156.8224317,0,0,0,0,0,0,0,0,,[M-H]-,157.8297082,0,0
156.8597052,0,0,0,0,0,0,0,0,,[M-H]-,157.8669816,0,0
156.8632093,0,0,0,0,0,0,0,0,,[M-H]-,157.8704857,0,0
157.0506466,7,10,4,0,0,0,0,0,CHO,[M-H]-,158.0579231,-0.090310699,1
157.1642502,0,0,0,0,0,0,0,0,,[M-H]-,158.1715266,0,0
157.2251963,0,0,0,0,0,0,0,0,,[M-H]-,158.2324727,0,0
157.5239225,0,0,0,0,0,0,0,0,,[M-H]-,158.5311989,0,0
157.5259774,0,0,0,0,0,0,0,0,,[M-H]-,158.5332538,0,0
157.5325342,0,0,0,0,0,0,0,0,,[M-H]-,158.5398106,0,0
157.5327455,0,0,0,0,0,0,0,0,,[M-H]-,158.5400219,0,0
157.5940066,0,0,0,0,0,0,0,0,,[M-H]-,158.6012831,0,0
157.5940518,0,0,0,0,0,0,0,0,,[M-H]-,158.6013283,0,0
157.5942621,0,0,0,0,0,0,0,0,,[M-H]-,158.6015386,0,0
157.7611967,0,0,0,0,0,0,0,0,,[M-H]-,158.7684732,0,0
157.7615672,0,0,0,0,0,0,0,0,,[M-H]-,158.7688437,0,0
157.7927764,0,0,0,0,0,0,0,0,,[M-H]-,158.8000528,0,0
157.8049104,0,0,0,0,0,0,0,0,,[M-H]-,158.8121868,0,0
157.8939918,0,0,0,0,0,0,0,0,,[M-H]-,158.9012683,0,0
158.0956748,0,0,0,0,0,0,0,0,,[M-H]-,159.1029513,0,0
158.0960166,0,0,0,0,0,0,0,0,,[M-H]-,159.1032931,0,0
158.2690081,0,0,0,0,0,0,0,0,,[M-H]-,159.2762846,0,0
158.2826732,0,0,0,0,0,0,0,0,,[M-H]-,159.2899497,0,0
158.4294882,0,0,0,0,0,0,0,0,,[M-H]-,159.4367646,0,0
158.6126761,0,0,0,0,0,0,0,0,,[M-H]-,159.6199526,0,0
158.7870091,0,0,0,0,0,0,0,0,,[M-H]-,159.7942855,0,0
159.0190409,0,0,0,0,0,0,0,0,,[M-H]-,160.0263174,0,0
159.0329578,0,0,0,0,0,0,0,0,,[M-H]-,160.0402343,0,0
159.066296,7,12,4,0,0,0,0,0,CHO,[M-H]-,160.0735724,-0.084760953,1
159.10265,8,16,3,0,0,0,0,0,CHO,[M-H]-,160.1099264,0.112110267,1
159.112276,0,0,0,0,0,0,0,0,,[M-H]-,160.1195524,0,0
159.121177,0,0,0,0,0,0,0,0,,[M-H]-,160.1284534,0,0
159.1241937,0,0,0,0,0,0,0,0,,[M-H]-,160.1314701,0,0
159.1245663,0,0,0,0,0,0,0,0,,[M-H]-,160.1318427,0,0
159.130343,0,0,0,0,0,0,0,0,,[M-H]-,160.1376194,0,0
159.458641,0,0,0,0,0,0,0,0,,[M-H]-,160.4659175,0,0
159.6204852,0,0,0,0,0,0,0,0,,[M-H]-,160.6277617,0,0
159.6207448,0,0,0,0,0,0,0,0,,[M-H]-,160.6280213,0,0
159.7898947,0,0,0,0,0,0,0,0,,[M-H]-,160.7971712,0,0
159.8450842,0,0,0,0,0,0,0,0,,[M-H]-,160.8523607,0,0
159.845164,0,0,0,0,0,0,0,0,,[M-H]-,160.8524405,0,0
159.8453552,0,0,0,0,0,0,0,0,,[M-H]-,160.8526317,0,0
159.8514087,0,0,0,0,0,0,0,0,,[M-H]-,160.8586852,0,0
160.1064916,0,0,0,0,0,0,0,0,,[M-H]-,161.1137681,0,0
160.3718946,0,0,0,0,0,0,0,0,,[M-H]-,161.379171,0,0
160.437736,0,0,0,0,0,0,0,0,,[M-H]-,161.4450125,0,0
160.4428345,0,0,0,0,0,0,0,0,,[M-H]-,161.450111,0,0
160.4439305,0,0,0,0,0,0,0,0,,[M-H]-,161.451207,0,0
160.4590255,0,0,0,0,0,0,0,0,,[M-H]-,161.466302,0,0
160.4759855,0,0,0,0,0,0,0,0,,[M-H]-,161.483262,0,0
160.5869875,0,0,0,0,0,0,0,0,,[M-H]-,161.594264,0,0
160.6190213,0,0,0,0,0,0,0,0,,[M-H]-,161.6262977,0,0
160.6709205,0,0,0,0,0,0,0,0,,[M-H]-,161.6781969,0,0
160.8420519,0,0,0,0,0,0,0,0,,[M-H]-,161.8493284,0,0
160.8969521,0,0,0,0,0,0,0,0,,[M-H]-,161.9042286,0,0
161.0243711,9,6,3,0,0,0,0,0,CHO,[M-H]-,162.0316476,0.286664893,1
161.0244396,9,6,3,0,0,0,0,0,CHO,[M-H]-,162.0317161,-0.136091831,1
161.1158233,0,0,0,0,0,0,0,0,,[M-H]-,162.1230998,0,0
161.3984892,0,0,0,0,0,0,0,0,,[M-H]-,162.4057657,0,0
161.413231,0,0,0,0,0,0,0,0,,[M-H]-,162.4205075,0,0
161.4194092,0,0,0,0,0,0,0,0,,[M-H]-,162.4266857,0,0
161.4279722,0,0,0,0,0,0,0,0,,[M-H]-,162.4352487,0,0
161.6114222,0,0,0,0,0,0,0,0,,[M-H]-,162.6186986,0,0
161.7612858,0,0,0,0,0,0,0,0,,[M-H]-,162.7685623,0,0
161.842101,0,0,0,0,0,0,0,0,,[M-H]-,162.8493774,0,0
161.8422158,0,0,0,0,0,0,0,0,,[M-H]-,162.8494922,0,0
161.8424891,0,0,0,0,0,0,0,0,,[M-H]-,162.8497655,0,0
162.09589,0,0,0,0,0,0,0,0,,[M-H]-,163.1031665,0,0
162.206344,0,0,0,0,0,0,0,0,,[M-H]-,163.2136204,0,0
162.228832,0,0,0,0,0,0,0,0,,[M-H]-,163.2361084,0,0
162.3752469,0,0,0,0,0,0,0,0,,[M-H]-,163.3825234,0,0
162.4355629,0,0,0,0,0,0,0,0,,[M-H]-,163.4428394,0,0
162.4646844,0,0,0,0,0,0,0,0,,[M-H]-,163.4719608,0,0
162.8112766,0,0,0,0,0,0,0,0,,[M-H]-,163.818553,0,0
162.8391128,0,0,0,0,0,0,0,0,,[M-H]-,163.8463892,0,0
162.8939994,0,0,0,0,0,0,0,0,,[M-H]-,163.9012759,0,0
163.0400759,9,8,3,0,0,0,0,0,CHO,[M-H]-,164.0473524,-0.050162855,1
163.0617327,0,0,0,0,0,0,0,0,,[M-H]-,164.0690091,0,0
163.1052682,0,0,0,0,0,0,0,0,,[M-H]-,164.1125446,0,0
163.1123177,0,0,0,0,0,0,0,0,,[M-H]-,164.1195941,0,0
163.1365737,0,0,0,0,0,0,0,0,,[M-H]-,164.1438501,0,0
163.1425081,0,0,0,0,0,0,0,0,,[M-H]-,164.1497845,0,0
163.4588972,0,0,0,0,0,0,0,0,,[M-H]-,164.4661737,0,0
163.7769404,0,0,0,0,0,0,0,0,,[M-H]-,164.7842169,0,0
163.7842024,0,0,0,0,0,0,0,0,,[M-H]-,164.7914789,0,0
163.7901384,0,0,0,0,0,0,0,0,,[M-H]-,164.7974149,0,0
163.7919834,0,0,0,0,0,0,0,0,,[M-H]-,164.7992599,0,0
163.7963404,0,0,0,0,0,0,0,0,,[M-H]-,164.8036169,0,0
163.8392614,0,0,0,0,0,0,0,0,,[M-H]-,164.8465379,0,0
163.887426,0,0,0,0,0,0,0,0,,[M-H]-,164.8947025,0,0
163.8950632,0,0,0,0,0,0,0,0,,[M-H]-,164.9023397,0,0
163.9106705,0,0,0,0,0,0,0,0,,[M-H]-,164.917947,0,0
164.1116093,0,0,0,0,0,0,0,0,,[M-H]-,165.1188858,0,0
164.1307788,0,0,0,0,0,0,0,0,,[M-H]-,165.1380553,0,0
164.3158673,0,0,0,0,0,0,0,0,,[M-H]-,165.3231437,0,0
164.3372993,0,0,0,0,0,0,0,0,,[M-H]-,165.3445757,0,0
164.4428527,0,0,0,0,0,0,0,0,,[M-H]-,165.4501292,0,0
164.4439722,0,0,0,0,0,0,0,0,,[M-H]-,165.4512487,0,0
164.4490652,0,0,0,0,0,0,0,0,,[M-H]-,165.4563417,0,0
164.4558756,0,0,0,0,0,0,0,0,,[M-H]-,165.4631521,0,0
164.4562652,0,0,0,0,0,0,0,0,,[M-H]-,165.4635417,0,0
164.4620152,0,0,0,0,0,0,0,0,,[M-H]-,165.4692917,0,0
164.7257481,0,0,0,0,0,0,0,0,,[M-H]-,165.7330246,0,0
164.7527766,0,0,0,0,0,0,0,0,,[M-H]-,165.7600531,0,0
164.7744253,0,0,0,0,0,0,0,0,,[M-H]-,165.7817018,0,0
164.7902991,0,0,0,0,0,0,0,0,,[M-H]-,165.7975756,0,0
164.8910493,0,0,0,0,0,0,0,0,,[M-H]-,165.8983257,0,0
165.0193449,8,6,4,0,0,0,0,0,CHO,[M-H]-,166.0266214,-0.076598608,1
165.022612,0,0,0,0,0,0,0,0,,[M-H]-,166.0298885,0,0
165.022721,5,10,4,0,0,1,0,0,CHOS,[M-H]-,166.0299975,-0.108401413,1
165.022971,0,0,0,0,0,0,0,0,,[M-H]-,166.0302475,0,0
165.031687,0,0,0,0,0,0,0,0,,[M-H]-,166.0389635,0,0
165.0438088,0,0,0,0,0,0,0,0,,[M-H]-,166.0510853,0,0
165.046611,0,0,0,0,0,0,0,0,,[M-H]-,166.0538875,0,0
165.108792,0,0,0,0,0,0,0,0,,[M-H]-,166.1160685,0,0
165.1206853,0,0,0,0,0,0,0,0,,[M-H]-,166.1279618,0,0
165.1208145,0,0,0,0,0,0,0,0,,[M-H]-,166.128091,0,0
165.121088,0,0,0,0,0,0,0,0,,[M-H]-,166.1283645,0,0
165.1478945,0,0,0,0,0,0,0,0,,[M-H]-,166.155171,0,0
165.3728199,0,0,0,0,0,0,0,0,,[M-H]-,166.3800964,0,0
165.4432599,0,0,0,0,0,0,0,0,,[M-H]-,166.4505364,0,0
165.4553779,0,0,0,0,0,0,0,0,,[M-H]-,166.4626544,0,0
165.4562339,0,0,0,0,0,0,0,0,,[M-H]-,166.4635104,0,0
165.4823539,0,0,0,0,0,0,0,0,,[M-H]-,166.4896303,0,0
165.5412104,0,0,0,0,0,0,0,0,,[M-H]-,166.5484868,0,0
165.6023128,0,0,0,0,0,0,0,0,,[M-H]-,166.6095893,0,0
165.7634808,0,0,0,0,0,0,0,0,,[M-H]-,166.7707573,0,0
165.7807108,0,0,0,0,0,0,0,0,,[M-H]-,166.7879872,0,0
165.7866518,0,0,0,0,0,0,0,0,,[M-H]-,166.7939282,0,0
165.7954918,0,0,0,0,0,0,0,0,,[M-H]-,166.8027682,0,0
165.8076508,0,0,0,0,0,0,0,0,,[M-H]-,166.8149272,0,0
165.8128248,0,0,0,0,0,0,0,0,,[M-H]-,166.8201012,0,0
165.9787957,0,0,0,0,0,0,0,0,,[M-H]-,166.9860722,0,0
165.9790752,0,0,0,0,0,0,0,0,,[M-H]-,166.9863517,0,1
166.1210727,0,0,0,0,0,0,0,0,,[M-H]-,167.1283491,0,0
166.1272947,0,0,0,0,0,0,0,0,,[M-H]-,167.1345711,0,0
166.1748046,0,0,0,0,0,0,0,0,,[M-H]-,167.1820811,0,0
166.3813666,0,0,0,0,0,0,0,0,,[M-H]-,167.388643,0,0
166.4584946,0,0,0,0,0,0,0,0,,[M-H]-,167.465771,0,0
166.5555535,0,0,0,0,0,0,0,0,,[M-H]-,167.56283,0,0
167.0349998,8,8,4,0,0,0,0,0,CHO,[M-H]-,168.0422762,-0.10401889,1
167.0383434,5,12,4,0,0,1,0,0,CHOS,[M-H]-,168.0456198,0.057960172,1
167.1150553,0,0,0,0,0,0,0,0,,[M-H]-,168.1223318,0,0
167.1366068,0,0,0,0,0,0,0,0,,[M-H]-,168.1438833,0,0
167.7798784,0,0,0,0,0,0,0,0,,[M-H]-,168.7871549,0,0
167.7963831,0,0,0,0,0,0,0,0,,[M-H]-,168.8036596,0,0
167.8084881,0,0,0,0,0,0,0,0,,[M-H]-,168.8157646,0,0
167.9010691,0,0,0,0,0,0,0,0,,[M-H]-,168.9083455,0,0
168.0302522,7,7,4,1,0,0,0,0,CHON,[M-H]-,169.0375287,-0.124060898,1
168.11866,0,0,0,0,0,0,0,0,,[M-H]-,169.1259365,0,0
168.130798,0,0,0,0,0,0,0,0,,[M-H]-,169.1380745,0,0
168.142958,0,0,0,0,0,0,0,0,,[M-H]-,169.1502345,0,0
168.4439924,0,0,0,0,0,0,0,0,,[M-H]-,169.4512688,0,0
168.4561182,0,0,0,0,0,0,0,0,,[M-H]-,169.4633946,0,0
168.4620514,0,0,0,0,0,0,0,0,,[M-H]-,169.4693278,0,0
168.4650189,0,0,0,0,0,0,0,0,,[M-H]-,169.4722953,0,0
168.4680072,0,0,0,0,0,0,0,0,,[M-H]-,169.4752836,0,0
168.4741649,0,0,0,0,0,0,0,0,,[M-H]-,169.4814413,0,0
168.4760239,0,0,0,0,0,0,0,0,,[M-H]-,169.4833003,0,0
168.7382898,0,0,0,0,0,0,0,0,,[M-H]-,169.7455662,0,0
168.7878798,0,0,0,0,0,0,0,0,,[M-H]-,169.7951562,0,0
168.7935498,0,0,0,0,0,0,0,0,,[M-H]-,169.8008262,0,0
168.7997248,0,0,0,0,0,0,0,0,,[M-H]-,169.8070012,0,0
168.8025768,0,0,0,0,0,0,0,0,,[M-H]-,169.8098532,0,0
168.8362608,0,0,0,0,0,0,0,0,,[M-H]-,169.8435373,0,0
168.8556147,0,0,0,0,0,0,0,0,,[M-H]-,169.8628912,0,0
169.0870322,9,14,3,0,0,0,0,0,CHO,[M-H]-,170.0943086,-0.084160277,1
169.1026267,0,0,0,0,0,0,0,0,,[M-H]-,170.1099031,0,0
169.1087063,0,0,0,0,0,0,0,0,,[M-H]-,170.1159827,0,0
169.1158737,0,0,0,0,0,0,0,0,,[M-H]-,170.1231501,0,0
169.128011,0,0,0,0,0,0,0,0,,[M-H]-,170.1352874,0,0
169.1337659,0,0,0,0,0,0,0,0,,[M-H]-,170.1410424,0,0
169.1341036,0,0,0,0,0,0,0,0,,[M-H]-,170.1413801,0,0
169.1357846,0,0,0,0,0,0,0,0,,[M-H]-,170.1430611,0,0
169.1371529,0,0,0,0,0,0,0,0,,[M-H]-,170.1444294,0,0
169.1571526,0,0,0,0,0,0,0,0,,[M-H]-,170.1644291,0,0
169.4554285,0,0,0,0,0,0,0,0,,[M-H]-,170.462705,0,0
169.4683865,0,0,0,0,0,0,0,0,,[M-H]-,170.475663,0,0
169.6140415,0,0,0,0,0,0,0,0,,[M-H]-,170.621318,0,0
169.7685874,0,0,0,0,0,0,0,0,,[M-H]-,170.7758639,0,0
169.7807204,0,0,0,0,0,0,0,0,,[M-H]-,170.7879969,0,0
169.7816034,0,0,0,0,0,0,0,0,,[M-H]-,170.7888799,0,0
169.7866744,0,0,0,0,0,0,0,0,,[M-H]-,170.7939509,0,0
169.8198184,0,0,0,0,0,0,0,0,,[M-H]-,170.8270949,0,0
170.0866053,0,0,0,0,0,0,0,0,,[M-H]-,171.0938818,0,0
170.1089953,0,0,0,0,0,0,0,0,,[M-H]-,171.1162718,0,0
170.1151766,0,0,0,0,0,0,0,0,,[M-H]-,171.1224531,0,0
170.1211203,0,0,0,0,0,0,0,0,,[M-H]-,171.1283968,0,0
170.2159733,0,0,0,0,0,0,0,0,,[M-H]-,171.2232497,0,0
170.3504272,0,0,0,0,0,0,0,0,,[M-H]-,171.3577037,0,0
170.3555728,0,0,0,0,0,0,0,0,,[M-H]-,171.3628493,0,0
170.3633532,0,0,0,0,0,0,0,0,,[M-H]-,171.3706297,0,0
170.4283662,0,0,0,0,0,0,0,0,,[M-H]-,171.4356427,0,0
170.4404807,0,0,0,0,0,0,0,0,,[M-H]-,171.4477572,0,0
170.4526112,0,0,0,0,0,0,0,0,,[M-H]-,171.4598877,0,0
170.4917027,0,0,0,0,0,0,0,0,,[M-H]-,171.4989792,0,0
170.6063801,0,0,0,0,0,0,0,0,,[M-H]-,171.6136566,0,0
170.6978041,0,0,0,0,0,0,0,0,,[M-H]-,171.7050806,0,0
170.7808981,0,0,0,0,0,0,0,0,,[M-H]-,171.7881746,0,0
170.8139831,0,0,0,0,0,0,0,0,,[M-H]-,171.8212595,0,0
170.8164961,0,0,0,0,0,0,0,0,,[M-H]-,171.8237725,0,0
170.8333024,0,0,0,0,0,0,0,0,,[M-H]-,171.8405788,0,0
171.033067,0,0,0,0,0,0,0,0,,[M-H]-,172.0403435,0,0
171.054372,0,0,0,0,0,0,0,0,,[M-H]-,172.0616485,0,0
171.0662891,8,12,4,0,0,0,0,0,CHO,[M-H]-,172.0735656,-0.038822385,1
171.1026795,9,16,3,0,0,0,0,0,CHO,[M-H]-,172.1099559,-0.067175015,1
171.1123575,0,0,0,0,0,0,0,0,,[M-H]-,172.1196339,0,0
171.115065,0,0,0,0,0,0,0,0,,[M-H]-,172.1223414,0,0
171.1245,0,0,0,0,0,0,0,0,,[M-H]-,172.1317764,0,0
171.127202,0,0,0,0,0,0,0,0,,[M-H]-,172.1344784,0,0
171.2091409,0,0,0,0,0,0,0,0,,[M-H]-,172.2164174,0,0
171.3318849,0,0,0,0,0,0,0,0,,[M-H]-,172.3391614,0,0
171.6256388,0,0,0,0,0,0,0,0,,[M-H]-,172.6329153,0,0
171.6269078,0,0,0,0,0,0,0,0,,[M-H]-,172.6341843,0,0
171.6854218,0,0,0,0,0,0,0,0,,[M-H]-,172.6926982,0,0
171.7842467,0,0,0,0,0,0,0,0,,[M-H]-,172.7915232,0,0
171.7901802,0,0,0,0,0,0,0,0,,[M-H]-,172.7974567,0,0
171.7963797,0,0,0,0,0,0,0,0,,[M-H]-,172.8036562,0,0
171.8041617,0,0,0,0,0,0,0,0,,[M-H]-,172.8114382,0,0
171.8085132,0,0,0,0,0,0,0,0,,[M-H]-,172.8157897,0,0
171.8206677,0,0,0,0,0,0,0,0,,[M-H]-,172.8279442,0,0
172.0205277,0,0,0,0,0,0,0,0,,[M-H]-,173.0278041,0,0
172.0851985,0,0,0,0,0,0,0,0,,[M-H]-,173.092475,0,0
172.1177226,0,0,0,0,0,0,0,0,,[M-H]-,173.1249991,0,0
172.1187066,0,0,0,0,0,0,0,0,,[M-H]-,173.1259831,0,0
172.1429606,0,0,0,0,0,0,0,0,,[M-H]-,173.1502371,0,0
172.1551116,0,0,0,0,0,0,0,0,,[M-H]-,173.1623881,0,0
172.3759375,0,0,0,0,0,0,0,0,,[M-H]-,173.383214,0,0
172.4499875,0,0,0,0,0,0,0,0,,[M-H]-,173.457264,0,0
172.4515145,0,0,0,0,0,0,0,0,,[M-H]-,173.458791,0,0
172.4561525,0,0,0,0,0,0,0,0,,[M-H]-,173.463429,0,0
172.4620875,0,0,0,0,0,0,0,0,,[M-H]-,173.469364,0,0
172.474215,0,0,0,0,0,0,0,0,,[M-H]-,173.4814915,0,0
172.4804005,0,0,0,0,0,0,0,0,,[M-H]-,173.487677,0,0
172.6986627,0,0,0,0,0,0,0,0,,[M-H]-,173.7059392,0,0
172.8027277,0,0,0,0,0,0,0,0,,[M-H]-,173.8100042,0,0
172.8121614,0,0,0,0,0,0,0,0,,[M-H]-,173.8194379,0,0
172.8301964,0,0,0,0,0,0,0,0,,[M-H]-,173.8374728,0,0
172.8319484,0,0,0,0,0,0,0,0,,[M-H]-,173.8392248,0,0
173.0129793,0,0,0,0,0,0,0,0,,[M-H]-,174.0202558,0,0
173.0141873,0,0,0,0,0,0,0,0,,[M-H]-,174.0214638,0,0
173.0298893,0,0,0,0,0,0,0,0,,[M-H]-,174.0371658,0,0
173.0819408,8,14,4,0,0,0,0,0,CHO,[M-H]-,174.0892173,-0.04778553,1
173.0967423,0,0,0,0,0,0,0,0,,[M-H]-,174.1040188,0,0
173.1159313,0,0,0,0,0,0,0,0,,[M-H]-,174.1232077,0,0
173.1183288,9,18,3,0,0,0,0,0,CHO,[M-H]-,174.1256052,-0.062024125,1
173.1280381,0,0,0,0,0,0,0,0,,[M-H]-,174.1353145,0,0
173.1339661,0,0,0,0,0,0,0,0,,[M-H]-,174.1412425,0,0
173.1369338,0,0,0,0,0,0,0,0,,[M-H]-,174.1442102,0,1
173.1401687,0,0,0,0,0,0,0,0,,[M-H]-,174.1474451,0,0
173.1927963,0,0,0,0,0,0,0,0,,[M-H]-,174.2000727,0,0
173.2285562,0,0,0,0,0,0,0,0,,[M-H]-,174.2358327,0,0
173.3729072,0,0,0,0,0,0,0,0,,[M-H]-,174.3801837,0,0
173.4565647,0,0,0,0,0,0,0,0,,[M-H]-,174.4638411,0,0
173.4624812,0,0,0,0,0,0,0,0,,[M-H]-,174.4697576,0,0
173.6362051,0,0,0,0,0,0,0,0,,[M-H]-,174.6434816,0,0
173.6715161,0,0,0,0,0,0,0,0,,[M-H]-,174.6787926,0,0
173.7684816,0,0,0,0,0,0,0,0,,[M-H]-,174.775758,0,0
173.7807495,0,0,0,0,0,0,0,0,,[M-H]-,174.788026,0,0
173.7996403,0,0,0,0,0,0,0,0,,[M-H]-,174.8069168,0,0
173.7998107,0,0,0,0,0,0,0,0,,[M-H]-,174.8070872,0,0
173.800099,0,0,0,0,0,0,0,0,,[M-H]-,174.8073755,0,0
173.80771,0,0,0,0,0,0,0,0,,[M-H]-,174.8149865,0,0
173.929355,0,0,0,0,0,0,0,0,,[M-H]-,174.9366315,0,0
173.93593,0,0,0,0,0,0,0,0,,[M-H]-,174.9432065,0,0
173.942245,0,0,0,0,0,0,0,0,,[M-H]-,174.9495215,0,0
173.996345,6,5,3,1,0,0,0,0,CHON,[M+Cl]-,139.0269437,-0.004669052,1
174.1030644,0,0,0,0,0,0,0,0,,[M-H]-,175.1103409,0,0
174.1314779,0,0,0,0,0,0,0,0,,[M-H]-,175.1387544,0,0
174.1392939,0,0,0,0,0,0,0,0,,[M-H]-,175.1465704,0,0
174.2544479,0,0,0,0,0,0,0,0,,[M-H]-,175.2617243,0,0
174.3247469,0,0,0,0,0,0,0,0,,[M-H]-,175.3320233,0,0
174.4283828,0,0,0,0,0,0,0,0,,[M-H]-,175.4356593,0,0
174.4343138,0,0,0,0,0,0,0,0,,[M-H]-,175.4415903,0,0
174.4405188,0,0,0,0,0,0,0,0,,[M-H]-,175.4477953,0,0
174.4464288,0,0,0,0,0,0,0,0,,[M-H]-,175.4537053,0,0
174.4526403,0,0,0,0,0,0,0,0,,[M-H]-,175.4599168,0,0
174.4656058,0,0,0,0,0,0,0,0,,[M-H]-,175.4728823,0,0
174.5303568,0,0,0,0,0,0,0,0,,[M-H]-,175.5376333,0,0
174.6150788,0,0,0,0,0,0,0,0,,[M-H]-,175.6223552,0,0
174.7750072,0,0,0,0,0,0,0,0,,[M-H]-,175.7822837,0,0
174.7808757,0,0,0,0,0,0,0,0,,[M-H]-,175.7881522,0,0
174.7871027,0,0,0,0,0,0,0,0,,[M-H]-,175.7943792,0,0
174.7973517,0,0,0,0,0,0,0,0,,[M-H]-,175.8046282,0,0
174.8000507,0,0,0,0,0,0,0,0,,[M-H]-,175.8073272,0,0
174.8290117,0,0,0,0,0,0,0,0,,[M-H]-,175.8362881,0,0
175.0976096,8,16,4,0,0,0,0,0,CHO,[M-H]-,176.1048861,-0.153600566,1
175.1061866,0,0,0,0,0,0,0,0,,[M-H]-,176.113463,0,0
175.1075299,0,0,0,0,0,0,0,0,,[M-H]-,176.1148063,0,0
175.1094016,0,0,0,0,0,0,0,0,,[M-H]-,176.116678,0,0
175.1123943,0,0,0,0,0,0,0,0,,[M-H]-,176.1196707,0,0
175.1183336,0,0,0,0,0,0,0,0,,[M-H]-,176.12561,0,0
175.1366396,0,0,0,0,0,0,0,0,,[M-H]-,176.143916,0,0
175.1393486,0,0,0,0,0,0,0,0,,[M-H]-,176.146625,0,0
175.3876495,0,0,0,0,0,0,0,0,,[M-H]-,176.3949259,0,0
175.4406565,0,0,0,0,0,0,0,0,,[M-H]-,176.4479329,0,0
175.4417608,0,0,0,0,0,0,0,0,,[M-H]-,176.4490372,0,0
175.4589375,0,0,0,0,0,0,0,0,,[M-H]-,176.4662139,0,0
175.4859354,0,0,0,0,0,0,0,0,,[M-H]-,176.4932119,0,0
175.7730098,0,0,0,0,0,0,0,0,,[M-H]-,176.7802863,0,0
175.8023833,0,0,0,0,0,0,0,0,,[M-H]-,176.8096598,0,0
175.9992983,0,0,0,0,0,0,0,0,,[M-H]-,177.0065747,0,0
176.4637621,0,0,0,0,0,0,0,0,,[M-H]-,177.4710386,0,0
176.4804366,0,0,0,0,0,0,0,0,,[M-H]-,177.4877131,0,0
176.4925681,0,0,0,0,0,0,0,0,,[M-H]-,177.4998446,0,0
176.5132731,0,0,0,0,0,0,0,0,,[M-H]-,177.5205496,0,0
176.5644021,0,0,0,0,0,0,0,0,,[M-H]-,177.5716785,0,0
176.876927,0,0,0,0,0,0,0,0,,[M-H]-,177.8842034,0,0
177.0192432,0,0,0,0,0,0,0,0,,[M-H]-,178.0265197,0,0
177.0193433,9,6,4,0,0,0,0,0,CHO,[M-H]-,178.0266198,-0.062302624,1
177.0195779,0,0,0,0,0,0,0,0,,[M-H]-,178.0268544,0,0
177.0358439,0,0,0,0,0,0,0,0,,[M-H]-,178.0431204,0,0
177.0436089,0,0,0,0,0,0,0,0,,[M-H]-,178.0508854,0,0
177.05557,0,0,0,0,0,0,0,0,,[M-H]-,178.0628465,0,0
177.0557334,10,10,3,0,0,0,0,0,CHO,[M-H]-,178.0630099,-0.088015445,1
177.0559529,0,0,0,0,0,0,0,0,,[M-H]-,178.0632294,0,0
177.0637659,0,0,0,0,0,0,0,0,,[M-H]-,178.0710424,0,0
177.1237169,0,0,0,0,0,0,0,0,,[M-H]-,178.1309933,0,0
177.1280799,0,0,0,0,0,0,0,0,,[M-H]-,178.1353563,0,0
